客戶編號,公司名稱,產業別,負責業務,年合約金額,到期日,狀態
C001,富邦金控股份有限公司,金融業,陳志明,"4,800,000",2025-12-31,有效
C002,台灣大哥大股份有限公司,電信業,林佩珊,"3,200,000",2025-09-30,有效
C003,統一超商股份有限公司,零售業,黃建宏,"2,100,000",2025-11-30,有效
C004,廣達電腦股份有限公司,製造業,李雅婷,"5,600,000",2026-03-31,有效
C005,研華科技股份有限公司,科技業,王大明,"1,800,000",2025-06-30,續約談判中
C006,長榮航空股份有限公司,航空業,張文雄,"3,900,000",2025-12-31,有效
C007,台達電子工業股份有限公司,電子業,劉麗華,"6,200,000",2026-06-30,有效
C008,中信金融控股股份有限公司,金融業,吳俊傑,"4,100,000",2025-08-31,有效
C009,鴻海精密工業股份有限公司,製造業,蔡宏偉,"7,800,000",2026-01-31,有效
C010,遠東新世紀股份有限公司,紡織業,許淑芬,"980,000",2025-05-31,即將到期
C011,玉山金融控股股份有限公司,金融業,江明哲,"2,700,000",2025-12-31,有效
C012,台灣水泥股份有限公司,建材業,林美玲,"1,200,000",2025-07-31,有效
C013,奇美實業股份有限公司,化學業,陳志明,"2,400,000",2026-02-28,有效
